"Source: EMFAC2021 (v1.0.1) Emissions Inventory"
"Region Type: County"
"Region: San Mateo"
"Calendar Year: 2020, 2030, 2040, 2050"
"Season: Annual"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/year for CVMT and EVMT, trips/year for Trips, kWh/year for Energy Consumption, tons/year for Emissions, 1000 gallons/year for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,"Energy Consumption",NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,"Fuel Consumption"
"San Mateo",2020,LDA,Aggregate,Aggregate,Gasoline,242868.10989067482,2602607986.389444,2602607986.389444,0,396502140.23617494,0,178.14875491891638,0,135.10758653759774,313.2563414565141,4.060373620848034,0,1.024580114229118,5.084953735077152,5.73776844259846,6.824554205849113,17.647276383524726,4.4159703872177065,0,1.114221482649143,5.530191869866849,22.95107377039384,19.498726302426036,47.97999194268672,840152.5447274529,0,32862.139273606874,873014.6840010597,9.37970221337186,0,37.90641838891552,47.28612060228738,16.343051283091974,0,15.309481927271833,31.652533210363806,39.17371455244494,0,187.15624465107743,226.32995920352238,133.86937315813378,43.08794853537333,107.90689932396556,511.19418022099507,57.144418838502226,0,204.91064835161572,262.05506719011794,133.86937315813378,43.08794853535561,107.90689932392112,546.9192882075284,2443.7327633280656,0,1805.02619036891,4248.758953696975,8.305763245877417,0,0.3248757029572204,8.630638948834637,94.66780364368083,92058.30762141706
"San Mateo",2020,LDA,Aggregate,Aggregate,Diesel,996.8649809496283,8516544.839274116,8516544.839274116,0,1497481.6101046365,0,2.81024475588499,0,0,2.81024475588499,0.18306468250443256,0,0,0.18306468250443256,0.018775767412653167,0.02260778502461266,0.22444823494169838,0.19134205510978555,0,0,0.19134205510978555,0.07510306965061267,0.06459367149889332,0.33103879625929156,2272.795803476027,0,0,2272.795803476027,0.014278198017687418,0,0,0.014278198017687418,0.35807990440907217,0,0,0.35807990440907217,0.3074011968464567,0,0,0.3074011968464567,0,0,0,0.3074011968464567,0.34995582518949997,0,0,0.34995582518949997,0,0,0,0.34995582518949997,3.430052604263962,0,0,3.430052604263962,0.021535895278523353,0,0,0.021535895278523353,0.029102431148828253,203.02794880084008
"San Mateo",2020,LDA,Aggregate,Aggregate,Electricity,11309.381300884219,134383883.80720344,0,134383883.80720344,19788037.832200907,51883270.45509131,0,0,0,0,0,0,0,0,0.29626575025325763,0.2262600949232733,0.5225258451765309,0,0,0,0,1.1850630010130305,0.6464574140664953,1.8315204150795257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo",2020,LDT1,Aggregate,Aggregate,Gasoline,23587.756875344174,226427452.15254483,226427452.15254483,0,36910056.4660894,0,45.25657934662449,0,18.89743201930764,64.15401136593213,0.538765736396306,0,0.13236551371199878,0.6711312501083048,0.4991870832230817,0.7252354190593772,1.8955537523907635,0.5858923664128504,0,0.14394045155727447,0.7298328179701248,1.9967483328923268,2.0721011973125063,4.7986823481749585,86057.73088848965,0,3779.0699691897908,89836.80085767944,2.1039510261960084,0,5.2296745615192695,7.333625587715278,2.9952055630293266,0,1.6929582610621903,4.688163824091517,9.742312095276978,0,28.38540134026225,38.12771343553923,25.2907869245848,7.570942510618858,22.06867328023158,93.05811615097447,14.19898987210551,0,31.07816124031083,45.27715111241634,25.2907869245848,7.570942510615744,22.068673280222498,100.20755382783938,435.855579089632,0,279.6743743287531,715.529953418385,0.8507682833587101,0,0.03735995403534486,0.888128237394055,8.861963014028436,9473.17840196855
"San Mateo",2020,LDT1,Aggregate,Aggregate,Diesel,10.50553636439901,49566.59860136949,49566.59860136949,0,11139.31573975163,0,0.09330732657370766,0,0,0.09330732657370766,0.013503311799002726,0,0,0.013503311799002726,0.00010927564456467708,0.00018618833710317561,0.013798775780670578,0.014113871638494967,0,0,0.014113871638494967,0.0004371025782587083,0.0005319666774376446,0.01508294089419132,23.059451303142097,0,0,23.059451303142097,0.0008329487751414196,0,0,0.0008329487751414196,0.003633025943521316,0,0,0.003633025943521316,0.01793289671939525,0,0,0.01793289671939525,0,0,0,0.01793289671939525,0.02041541065504924,0,0,0.02041541065504924,0,0,0,0.02041541065504924,0.09541369420419454,0,0,0.09541369420419454,0.00021850001996887063,0,0,0.00021850001996887063,0.00016937720053158446,2.0598916503583657
"San Mateo",2020,LDT1,Aggregate,Aggregate,Electricity,52.64110425665383,512707.83545495203,0,512707.83545495203,86546.26995487777,197947.5405660796,0,0,0,0,0,0,0,0,0.0011303272924431049,0.0008701856205310674,0.0020005129129741723,0,0,0,0,0.0045213091697724195,0.0024862446300887636,0.007007553799861183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo",2030,LDA,Aggregate,Aggregate,Gasoline,237797.81325633914,2206267636.086169,2206267636.086169,0,386824037.4634892,0,60.835562670252465,0,84.61539480354358,145.45095747379605,2.043151009881255,0,0.6394431713201231,2.682594181201378,4.86398754036839,5.710356147313642,13.256937868883409,2.2221131421336273,0,0.6954527921656812,2.9175659342993088,19.45595016147356,16.315303278038975,38.68881937381184,608921.2020768467,0,26637.54747787347,635558.7495547202,3.0734969940255645,0,20.786655354466316,23.86015234849188,8.091653838294885,0,11.339269346807875,19.43092318510276,10.82787978530931,0,93.72153083434804,104.54941061965735,100.0570823967767,27.69938338759127,77.96400853294101,310.2698849369663,15.800016765173112,0,102.61327932795325,118.41329609312636,100.0570823967767,27.699383387579864,77.96400853290895,324.1337704103919,1204.2975308571297,0,1017.9128156862874,2222.210346543417,6.019806012116585,0,0.26333927593328726,6.283145288049872,96.93623227996437,67018.87602834473
"San Mateo",2030,LDA,Aggregate,Aggregate,Diesel,401.20923687023094,2808927.4910088517,2808927.4910088517,0,598099.7031975281,0,0.2527475753179735,0,0,0.2527475753179735,0.017381590268730377,0,0,0.017381590268730377,0.006192625089811038,0.0074849093690766205,0.031059124727618036,0.018167508651017863,0,0,0.018167508651017863,0.024770500359244153,0.02138545534021891,0.06432346435048092,674.1442077354524,0,0,674.1442077354524,0.0017703018249492614,0,0,0.0017703018249492614,0.10621169446663266,0,0,0.10621169446663266,0.03811355600298713,0,0,0.03811355600298713,0,0,0,0.03811355600298713,0.043389749548027254,0,0,0.043389749548027254,0,0,0,0.043389749548027254,0.7069572022060304,0,0,0.7069572022060304,0.006387858970088484,0,0,0.006387858970088484,0.009598566138249023,60.221035027945085
"San Mateo",2030,LDA,Aggregate,Aggregate,Electricity,25244.075587372055,280927083.3326911,0,280927083.3326911,42555525.833112374,108461040.34037967,0,0,0,0,0,0,0,0,0.6193382030052458,0.47479566617400537,1.094133869179251,0,0,0,0,2.477352812020983,1.356559046211444,3.833911858232427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo",2030,LDT1,Aggregate,Aggregate,Gasoline,27717.908258637388,244866692.83225363,244866692.83225363,0,44301295.26020746,0,12.873230594674775,0,11.48471370952721,24.357944304201986,0.26377780759359626,0,0.08049016938452257,0.34426797697811884,0.5398386503552819,0.7617984320921818,1.6459050594255826,0.28688243307624706,0,0.08754040319922526,0.37442283627547235,2.1593546014211276,2.176566948834805,4.710344386531405,78774.33734040568,0,3589.43134080281,82363.76868120849,0.6126719460069578,0,2.8102299612772583,3.422901907284216,1.2455150862620006,0,1.4107116370076598,2.6562267232696604,2.503280783457982,0,13.24107339430422,15.744354177762201,15.461276030410573,4.161356120742224,12.031970165267829,47.398956494182826,3.652781442977754,0,14.497308683670308,18.150090126648063,15.461276030410573,4.161356120740511,12.031970165262877,49.80469244306203,182.4190432471677,0,140.87664909185187,323.2956923390196,0.7787645230694866,0,0.035485183126728326,0.814249706196215,10.760279643090458,8685.15649629637
